"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","label","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","g13681","g13681","6.0","1","0","false","0","g13681","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g5070","g5070","28.0","0","0","false","0","g5070","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre05.g240950,g5556","Cre05.g240950,g5556","26.0","0","0","false","0","Cre05.g240950,g5556","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre12.g488400","Cre12.g488400","5.0","1","0","false","0","Cre12.g488400","0"
"1.0","0.0015918568063659452","1.0","0.2857142857142857","1","8","4","false","Cre14.g613100","Cre14.g613100","8.75","4","0","false","0","Cre14.g613100","129475"
"0.0","0.0","0.0","0.5","0","2","2","false","g17988","g17988","8.5","0","0","false","0","g17988","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g1874","g1874","2.0","0","0","false","0","g1874","0"
"2.6","0.0","0.3846153846153846","0.0","5","3","0","false","g13685","g13685","7.666666666666667","3","0","false","0","g13685","0"
"2.2222222222222223","0.0","0.44999999999999996","0.5","3","2","0","false","Cre12.g506800","Cre12.g506800","7.5","2","0","false","0","Cre12.g506800","0"
"0.0","0.0","0.0","0.5","0","2","2","false","g8910","g8910","4.0","0","0","false","0","g8910","0"
"5.351351351351352","1.4720963642980734E-5","0.18686868686868685","0.0","8","2","1","false","Cre13.g571050","Cre13.g571050","10.0","1","0","false","0","Cre13.g571050","1049"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre12.g554550","Cre12.g554550","25.0","0","0","false","0","Cre12.g554550","0"
"4.91358024691358","0.0","0.2035175879396985","0.0","7","1","0","false","Cre12.g529050","Cre12.g529050","14.0","1","0","false","0","Cre12.g529050","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre12.g535750","Cre12.g535750","2.0","1","0","false","0","Cre12.g535750","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre02.g079850","Cre02.g079850","4.0","0","0","false","0","Cre02.g079850","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g6321,g6322","g6321,g6322","13.0","0","0","false","0","g6321,g6322","0"
"0.0","0.0","0.0","0.5","0","3","3","false","ANK18,g1893","ANK18,g1893","20.0","0","0","false","0","ANK18,g1893","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","g11928","g11928","3.0","1","0","false","0","g11928","0"
"1.6666666666666667","0.0","0.6","0.0","3","3","0","false","g11716","g11716","5.0","3","0","false","0","g11716","0"
"1.0","0.0","1.0","0.5","1","2","1","false","Cre13.g587750","Cre13.g587750","6.0","1","0","false","0","Cre13.g587750","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre17.g736150,g17808","Cre17.g736150,g17808","5.0","0","0","false","0","Cre17.g736150,g17808","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g14420","g14420","4.0","0","0","false","0","g14420","0"
"3.698744769874477","0.028169960247223493","0.2703619909502262","0.25","7","4","2","false","Cre09.g405650","Cre09.g405650","42.25","2","0","false","0","Cre09.g405650","13119238"
"0.0","0.0","0.0","0.0","0","1","1","false","g18027","g18027","3.0","0","0","false","0","g18027","0"
"1.25","0.0","0.8","0.3333333333333333","2","3","0","false","Cre10.g428800,Cre10.g428850","Cre10.g428800,Cre10.g428850","4.333333333333333","3","0","false","0","Cre10.g428800,Cre10.g428850","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g15368","g15368","62.0","0","0","false","0","g15368","0"
"0.0","0.0","0.0","0.5","0","2","2","false","g12571","g12571","5.0","0","0","false","0","g12571","0"
"3.4","0.0","0.29411764705882354","0.0","5","1","0","false","Cre10.g461050","Cre10.g461050","28.0","1","0","false","0","Cre10.g461050","0"
"1.4","0.003381920372020222","0.7142857142857143","0.15","2","5","2","false","Cre12.g502300","Cre12.g502300","6.2","3","0","false","0","Cre12.g502300","310104"
"2.0","0.0","0.5","0.5","3","2","0","false","Cre10.g457700","Cre10.g457700","7.0","2","0","false","0","Cre10.g457700","0"
"1.25","0.0","0.8","0.0","2","3","0","false","g11714","g11714","3.6666666666666665","3","0","false","0","g11714","0"
"4.4867724867724865","0.0","0.22287735849056606","0.5","10","3","0","false","Cre10.g464350,g11379","Cre10.g464350,g11379","29.333333333333332","3","0","false","0","Cre10.g464350,g11379","0"
"1.0","0.0","1.0","0.0","1","2","0","false","Cre02.g099400","Cre02.g099400","2.0","2","0","false","0","Cre02.g099400","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre04.g229100","Cre04.g229100","22.0","0","0","false","0","Cre04.g229100","0"
"1.0","0.0","1.0","0.0","1","1","0","false","Cre02.g075900","Cre02.g075900","5.0","1","0","false","0","Cre02.g075900","0"
"2.727272727272727","0.0","0.3666666666666667","0.0","4","1","0","false","Cre02.g080500","Cre02.g080500","6.0","1","0","false","0","Cre02.g080500","0"
"1.0","0.0","1.0","0.0","1","1","0","false","g2896","g2896","16.0","1","0","false","0","g2896","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre09.g398850","Cre09.g398850","6.5","0","0","false","0","Cre09.g398850","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre12.g502227","Cre12.g502227","30.0","0","0","false","0","Cre12.g502227","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre01.g020887","Cre01.g020887","80.0","0","0","false","0","Cre01.g020887","0"
"1.0","0.0","1.0","0.5","1","2","0","false","Cre17.g735750","Cre17.g735750","5.0","2","0","false","0","Cre17.g735750","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre06.g260000","Cre06.g260000","2.5","0","0","false","0","Cre06.g260000","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre13.g587250","Cre13.g587250","3.0","0","0","false","0","Cre13.g587250","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g9198","g9198","3.0","0","0","false","0","g9198","0"
"4.683333333333334","0.0","0.21352313167259784","0.0","8","1","0","false","Cre02.g087300,Cre02.g087324","Cre02.g087300,Cre02.g087324","4.0","1","0","false","0","Cre02.g087300,Cre02.g087324","0"
"4.618421052631579","0.0","0.21652421652421652","0.3333333333333333","9","3","0","false","Cre02.g117150","Cre02.g117150","74.33333333333333","3","0","false","0","Cre02.g117150","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre07.g342600","Cre07.g342600","20.0","0","0","false","0","Cre07.g342600","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre07.g329861,Cre07.g329882","Cre07.g329861,Cre07.g329882","6.0","0","0","false","0","Cre07.g329861,Cre07.g329882","0"
"1.75","0.0","0.5714285714285714","0.0","3","2","0","false","Cre16.g684750","Cre16.g684750","2.5","2","0","false","0","Cre16.g684750","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","Cre02.g081450","Cre02.g081450","15.0","0","0","false","0","Cre02.g081450","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre16.g661450","Cre16.g661450","15.0","1","0","false","0","Cre16.g661450","0"
"0.0","0.0","0.0","0.0","0","2","2","false","Cre02.g091750,g1719","Cre02.g091750,g1719","14.5","0","0","false","0","Cre02.g091750,g1719","0"
"0.0","0.0","0.0","0.0","0","2","2","false","g2756","g2756","6.0","0","0","false","0","g2756","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre02.g100600","Cre02.g100600","2.0","0","0","false","0","Cre02.g100600","0"
"1.3333333333333333","0.0","0.75","0.0","2","2","0","false","g16741","g16741","2.0","2","0","false","0","g16741","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre02.g073850","Cre02.g073850","2.0","0","0","false","0","Cre02.g073850","0"
"3.4347826086956523","0.00844599068210832","0.2911392405063291","0.26666666666666666","6","6","1","false","Cre06.g252600","Cre06.g252600","32.5","5","0","false","0","Cre06.g252600","7245413"
"0.0","0.0","0.0","0.0","0","3","3","false","Cre03.g195400","Cre03.g195400","9.333333333333334","0","0","false","0","Cre03.g195400","0"
"1.5","0.0","0.6666666666666666","0.0","2","1","0","false","Cre12.g540750","Cre12.g540750","3.0","1","0","false","0","Cre12.g540750","0"
"1.0","0.07364507983996726","1.0","0.0","1","3","2","false","Cre01.g043400","Cre01.g043400","11.333333333333334","1","0","false","0","Cre01.g043400","63444239"
"1.0","0.0033541487084854213","1.0","0.0","1","3","2","false","g16862","g16862","3.3333333333333335","1","0","false","0","g16862","685422"
"1.3333333333333333","0.0","0.75","0.5","2","2","0","false","Cre14.g619850","Cre14.g619850","22.5","2","0","false","0","Cre14.g619850","0"
"0.0","0.0","0.0","0.0","0","1","1","false","g16937","g16937","6.0","0","0","false","0","g16937","0"
"0.0","0.0","0.0","0.0","0","1","1","false","Cre03.g149550","Cre03.g149550","9.0","0","0","false","0","Cre03.g149550","0"
