SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,kineticLaw-,kineticLaw--units,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,sbml charge,sbml compartment,sbml id,sbml initial amount,sbml initial concentration,sbml type,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
298903,4.05342923,9.24E-04,0.24670469,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,3-oxoacyl-CoA reductase (18:0),127.6,5,0,0,0,0.83036504,,,R_3OACOAR,,,reaction,TRUE,0,3-oxoacyl-CoA reductase (18:0),4464188,0.23707865
305598,5.11071153,2.50E-04,0.19566747,0,6,12,6,6,FALSE,0,mmol_per_gDW_per_hr,Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase III,88.83333333,6,0,0,0,0.77162714,,,R_MPMECY3,,,reaction,TRUE,0,Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase III,3061096,0.32291667
295732,5.63267403,4.88E-06,0.17753557,0,3,13,3,0,FALSE,,,trans-Oct-2-enoyl-[acyl-carrier protein],4.33333333,3,0,3,0,0.74262922,0,h,M_toct2eACP_h,NaN,NaN,species,TRUE,0,trans-Oct-2-enoyl-[acyl-carrier protein],102350,0.41666667
304746,6.01541228,7.78E-04,0.16623964,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,"UDP-galactose:hydroxyproline 1,4-alpha-D-galactosyltransferase",9.25,4,0,0,0,0.72136598,,,R_A4GALT,,,reaction,TRUE,0,"UDP-galactose:hydroxyproline 1,4-alpha-D-galactosyltransferase",2326762,0.39285714
294149,4.67094786,0.00246947,0.21408931,0,25,11,25,0,FALSE,,,"1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))",4.32,25,0,25,0,0.79605845,0,c,M_12dgr18111Z18111Z_c,NaN,NaN,species,TRUE,0,"1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))",20408176,0.08097561
307289,4.90624197,0.00125873,0.20382199,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), chloroplast",53.6,5,0,0,0,0.78298656,,,R_ACSERLh,,,reaction,TRUE,0,"O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide), chloroplast",21214462,0.20790514
304349,4.07500642,7.56E-04,0.24539839,0,5,10,5,5,FALSE,0,mmol_per_gDW_per_hr,"alpha-1,3-glucosyltransferase (doldpglcnacglcnacman(man(manman)manman)manmanmanglc)",108.2,5,0,0,0,0.82916631,,,R_DOLPGT1,,,reaction,TRUE,0,"alpha-1,3-glucosyltransferase (doldpglcnacglcnacman(man(manman)manman)manmanmanglc)",4278256,0.20497132
304229,4.90624197,8.10E-04,0.20382199,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,O-Acetyl-L-homoserine succinate-lyase,55,5,0,0,0,0.78298656,,,R_AHSL,,,reaction,TRUE,0,O-Acetyl-L-homoserine succinate-lyase,16494712,0.21259843
300294,5.75545852,9.42E-04,0.1737481,0,5,12,5,5,FALSE,0,mmol_per_gDW_per_hr,(S)-3-Hydroxyhexadecanoyl-CoA:NAD oxidoreductase,10.6,5,0,0,0,0.73580786,,,R_HACD7,,,reaction,TRUE,0,(S)-3-Hydroxyhexadecanoyl-CoA:NAD oxidoreductase,11476368,0.30967742
304043,4.32365785,3.68E-04,0.23128565,0,4,10,4,4,FALSE,0,mmol_per_gDW_per_hr,"D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase",133.75,4,0,0,0,0.81535234,,,R_ITPH,,,reaction,TRUE,0,"D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase",5882616,0.31088993
300975,5.11225276,9.78E-05,0.19560848,0,4,12,4,4,FALSE,0,mmol_per_gDW_per_hr,acyl-CoA: diacylglycerol acyltransferase (16:0),40,4,0,0,0,0.77154151,,,R_ACOADAGAT1819Z1819Z160,,,reaction,TRUE,0,acyl-CoA: diacylglycerol acyltransferase (16:0),1628622,0.28888889
